codeD,annee,age0_19,age20_39,age40_59,age60_74,age75_et_plus,total
1,2022,169605,149821,181185,107629,57151,665391
10,2022,74862,70017,77295,56473,32436,311083
11,2022,79715,72105,97739,80958,49327,379844
12,2022,55265,53089,71524,60524,39852,280254
13,2022,483436,489974,526957,348795,213337,2062499
14,2022,156612,159879,172228,132852,73739,695310
15,2022,26719,25449,37595,33047,20470,143280
16,2022,70991,70201,90375,74163,44568,350298
17,2022,129011,122942,167067,148793,91669,659482
18,2022,61174,58207,75626,63680,38217,296904
19,2022,46779,44479,61087,52816,33284,238445
2,2022,127886,113607,132928,99375,50607,524403
21,2022,118118,130903,133327,96670,55406,534424
22,2022,130658,110172,152841,129855,77828,601354
23,2022,20160,18961,28852,28494,17244,113711
24,2022,75948,71510,105260,97457,60912,411087
25,2022,133492,131707,137198,91880,53295,547572
26,2022,124501,110679,135060,96677,57589,524506
27,2022,147534,126056,158124,108946,53225,593885
28,2022,105867,89422,112852,77267,42368,427776
29,2022,198612,193661,237703,186276,106545,922797
2A,2022,32848,32709,45141,31138,20478,162314
2B,2022,38265,42627,49061,35537,21661,187151
3,2022,66254,62020,83598,72268,47617,331757
30,2022,168506,154424,195289,149899,85318,753436
31,2022,343415,405739,373055,211050,118796,1452055
32,2022,37655,33545,50584,42761,27734,192279
33,2022,383929,423758,439976,277748,155919,1681330
34,2022,275588,294538,301730,214999,130932,1217787
35,2022,275115,277041,285664,171869,98171,1107860
36,2022,42116,39179,54547,47858,31331,215031
37,2022,140886,140180,154898,111475,65967,613406
38,2022,320370,304092,337011,207704,116738,1285915
39,2022,56466,51089,67780,51252,30541,257128
4,2022,33620,30724,42956,36032,22250,165582
40,2022,86479,78984,114080,90339,52450,422332
41,2022,71228,62292,84034,66657,41387,325598
42,2022,184379,169894,190225,137052,85999,767549
43,2022,49680,43287,60107,47177,26973,227224
44,2022,367807,364532,381147,236836,127779,1478101
45,2022,172206,156116,173128,117631,67119,686200
46,2022,31288,29911,43740,42580,27003,174522
47,2022,69164,63500,83217,68579,44675,329135
48,2022,15458,14833,20034,16490,9758,76573
49,2022,200402,190261,205462,143047,86069,825241
5,2022,29263,26865,37157,30480,17294,141059
50,2022,103797,96639,124619,103696,62530,491281
51,2022,132820,137652,140943,98762,52368,562545
52,2022,34077,33690,42485,35533,20558,166343
53,2022,73554,62816,78641,56499,34360,305870
54,2022,166746,185787,182981,127125,68367,731006
55,2022,38819,36928,45824,37353,19232,178156
56,2022,166509,147030,199184,164555,93643,770921
57,2022,229422,243411,277755,195230,98580,1044398
58,2022,37983,35267,48945,47491,29687,199373
59,2022,667669,663951,649592,418101,207560,2606873
6,2022,235014,237106,286618,201508,143309,1103555
60,2022,213925,194270,221849,137592,65377,833013
61,2022,57994,51833,68645,58867,35875,273214
62,2022,360073,335450,372114,262009,126909,1456555
63,2022,149263,157495,171013,123797,70926,672494
64,2022,142644,143704,183127,135362,86933,691770
65,2022,44917,44893,59129,50569,31506,231014
66,2022,102626,94903,122647,99556,65664,485396
67,2022,260154,290769,303579,200033,102011,1156546
68,2022,173613,172205,208062,140710,73967,768557
69,2022,479828,532554,469170,266377,164144,1912073
7,2022,70816,61675,87687,69557,41130,330865
70,2022,51359,45464,61857,47904,25947,232531
71,2022,116402,103920,139726,114899,71630,546577
72,2022,134203,119253,142509,106211,62412,564588
73,2022,100121,97616,118666,79945,45706,442054
74,2022,208734,207716,235549,128590,69536,850125
75,2022,401664,708578,539440,310928,179297,2139907
76,2022,300258,299734,308987,222501,122116,1253596
77,2022,391132,359246,384424,210661,98333,1443796
78,2022,390258,343629,396524,212744,120554,1463709
79,2022,83877,73755,98478,73688,44628,374426
8,2022,60125,55725,69077,52834,27524,265285
80,2022,132077,135161,143281,101551,54258,566328
81,2022,84530,75769,102772,79276,50699,393046
82,2022,62969,52549,70558,49100,29040,264216
83,2022,224984,219881,279809,220346,150544,1095564
84,2022,131540,117749,145447,105145,63047,562928
85,2022,155953,134081,178800,146705,83757,699296
86,2022,99448,103094,107556,81266,48800,440164
87,2022,77134,78895,92659,74736,46381,369805
88,2022,75538,70923,93187,76419,42108,358175
89,2022,72667,64298,84948,68575,39586,330074
9,2022,30498,28773,40180,33192,20483,153126
90,2022,31851,31894,35903,24740,13326,137714
91,2022,356828,334014,345228,182755,96579,1315404
92,2022,405332,455709,438829,220262,122948,1643080
93,2022,488305,470896,429842,202830,86494,1678367
94,2022,367442,396722,371677,196255,102255,1434351
95,2022,366318,330385,328578,173791,77462,1276534
