codeD,dc_vague1_femme_100k_hab,dc_vague1_homme_100k_hab,dc_vague2_femme_100k_hab,dc_vague2_homme_100k_hab,dc_vague3_femme_100k_hab,dc_vague3_homme_100k_hab
1,8.7,13.7,30.5,49.2,25.9,39.5
10,23,43.3,28,53.9,42.3,57.9
11,7.6,18.5,17.8,21.8,44.3,63.2
12,6.2,8.1,29.7,38.4,28.3,37.7
13,15.5,20,41.5,67.1,62.3,98.2
14,5,11,22.5,30.7,35.3,45.9
15,1.3,4.3,28.3,33.2,39.1,54.9
16,1.7,4.1,11.6,16,19.3,34.9
17,4.1,8.2,6.2,12.2,20.5,35.8
18,14.3,20.2,52.1,78.1,61.2,70.4
19,1.6,17.4,17,20.8,43.8,56.4
2,28,47.4,39.8,49.7,90.7,109
21,30.8,47.3,42,69.3,50.3,77.5
22,2.9,5.2,9.6,12.7,17,24.1
23,3.4,5.5,30.6,32.8,22.1,43.7
24,2.4,1.5,7.1,11.1,32,44.3
25,15.9,25,20.5,34.8,27.2,44.6
26,17.3,25.7,44.3,58.8,53.1,75.8
27,10.1,10.8,18.2,31.7,27.7,42.2
28,19,18.9,23.1,31.5,44.3,58.6
29,2.7,4.9,5.7,11.7,8.2,17.3
2A,17.9,34.4,4.8,29.3,26.2,16.6
2B,3.1,5.5,6.2,17.7,17.6,35.4
3,7,6.9,63,101.1,61.8,82.4
30,5.9,7.1,24.6,36.3,27,43.7
31,1.7,4.6,12.1,23,22,34.8
32,6,10.8,15.1,16.2,14.1,23.7
33,6.4,6.2,12.8,20.4,25.5,33
34,6.5,9.7,22.1,34.9,28.6,41.1
35,5.6,6.5,15.2,18.7,27.8,41.9
36,22.5,34.7,27,31.8,40.5,50.1
37,5.4,13.2,16.4,23.6,26.8,53
38,6.2,8.9,47.8,74.7,48.1,66.8
39,15.8,17.7,68.5,87.8,76.7,83.7
4,2.3,6.3,36.2,62.5,61.9,103.8
40,1.8,2.9,18.3,23,29.8,31.9
41,8.3,15.3,25,35.6,28.5,58.5
42,14.4,32.1,61.5,89.3,48.9,65
43,2.6,5.5,46.8,69.2,36.6,46.5
44,6.7,8.8,12.7,19.8,24.2,28.3
45,7.3,12.1,17.2,22,38.9,66.4
46,10,7.1,11.1,22.5,16.6,32
47,"0",3.1,17,27,15.3,30.8
48,"0","0",65.7,94.6,55.6,89.2
49,8.9,14,23,36.6,26.7,46.7
5,5.5,2.9,54.8,116,60.3,93.9
50,7.5,7.2,11.4,22.8,37,45.5
51,27.2,44.2,26.8,39,60.2,79.5
52,36,29.9,62.8,72.2,80.2,99.6
53,8.2,9.5,32.3,42,31.6,36.6
54,26.7,41.6,34.7,51.8,54.8,75.9
55,39.1,52.3,64.1,68.6,57.5,108.1
56,7.3,12.6,9.3,17.7,23.1,28.2
57,49.4,70.4,39.4,59.5,78.7,101.5
58,10.7,11.4,36.9,49.8,78.6,110.1
59,14.1,17,40.2,55.1,54.7,70.2
6,10,12,25.2,46.2,64.5,93.1
60,30.2,44.2,22.8,30.3,60.8,85.5
61,7.1,12.9,41.8,57.6,49.6,64.4
62,11.2,17.3,33.6,44.2,57.9,66.8
63,3.2,6.5,37.4,50.8,44.6,59.1
64,1.7,4.8,34.7,39.2,21.3,29.6
65,9.2,7.2,41,46.6,31.8,29.6
66,6,5.5,10.4,24.3,23.9,49.9
67,34.1,50.5,22.6,37.2,47.5,54.6
68,63.9,109.1,24.7,29.4,51.6,62.2
69,20.6,27.5,45.1,74,49.1,73.4
7,9.4,23.2,40.9,74.5,54.4,51.9
70,20,38.3,28.3,33.8,40.8,49
71,25.8,28.8,72.2,79.2,67.9,95.8
72,8.2,8.8,25.7,38.9,41.5,59.4
73,6.1,12.6,71.3,105.8,38.1,56.2
74,11.1,20,41.6,66.5,34.8,49
75,44.2,83.8,25.6,49.3,57.7,90.3
76,7.4,14.7,34.4,45.6,50.5,66.7
77,24,38.4,28,35.7,42.5,58.7
78,20.4,34.7,27.5,42.6,36.2,54.6
79,3.1,4.4,17.6,26.5,30,44.8
8,15.3,17.2,43,70.2,45.9,62.4
80,22.9,36.6,27.7,37.7,63.9,91.8
81,4.9,4.2,22.1,45.3,39.9,62.7
82,"0",2.4,29.3,33.7,36.6,43.1
83,8.3,10.4,23.3,37,63.2,103
84,3.4,5.9,52.2,82.8,57,81.6
85,2.5,6.2,8.9,14.8,14.9,27.2
86,5.7,7.1,18,23,25.9,30.1
87,5.8,6.2,35.6,40.3,24.6,42.5
88,48.6,78,59.9,86.7,79.9,87.3
89,13.5,18.8,42.8,64,71.5,97.2
9,1.3,1.4,15.2,23,21.5,32.5
90,82.9,126.3,118,180.4,88.5,144.3
91,22.5,35.1,25,32.3,45.7,64.1
92,37.2,60.2,18.4,37,50,72.1
93,33.1,59.8,19.1,33.2,39.2,55.4
94,47.5,72.6,34.7,48.8,59.5,78.8
95,29.4,54.7,25.6,42.5,44.4,65.2
