date_annee_semaine,nouvelle_admission_hospit_covid_19,plus_5k_hospit_hebdomadaire
2020-S09,61,"0"
2020-S10,862,"0"
2020-S11,2969,"0"
2020-S12,10728,1
2020-S13,21072,1
2020-S14,19545,1
2020-S15,14264,1
2020-S16,9212,1
2020-S17,6372,1
2020-S18,4071,"0"
2020-S19,2807,"0"
2020-S20,2092,"0"
2020-S21,1468,"0"
2020-S22,1019,"0"
2020-S23,755,"0"
2020-S24,620,"0"
2020-S25,600,"0"
2020-S26,524,"0"
2020-S27,464,"0"
2020-S28,481,"0"
2020-S29,539,"0"
2020-S30,621,"0"
2020-S31,681,"0"
2020-S32,810,"0"
2020-S33,948,"0"
2020-S34,1023,"0"
2020-S35,1354,"0"
2020-S36,1931,"0"
2020-S37,2717,"0"
2020-S38,3630,"0"
2020-S39,3825,"0"
2020-S40,4460,"0"
2020-S41,5668,1
2020-S42,8546,1
2020-S43,13051,1
2020-S44,16874,1
2020-S45,17781,1
2020-S46,15315,1
2020-S47,11314,1
2020-S48,8671,1
2020-S49,8261,1
2020-S50,7916,1
2020-S51,8138,1
2020-S52,7037,1
2020-S53,7521,1
2021-S01,8653,1
2021-S02,9793,1
2021-S03,10653,1
2021-S04,10409,1
2021-S05,10394,1
2021-S06,9015,1
2021-S07,8986,1
2021-S08,8985,1
2021-S09,9125,1
2021-S10,9587,1
2021-S11,10970,1
2021-S12,12272,1
2021-S13,13290,1
2021-S14,12942,1
2021-S15,12278,1
2021-S16,11597,1
2021-S17,9560,1
2021-S18,7053,1
2021-S19,4891,"0"
2021-S20,3916,"0"
2021-S21,2979,"0"
2021-S22,2438,"0"
2021-S23,1763,"0"
2021-S24,1145,"0"
2021-S25,867,"0"
2021-S26,742,"0"
2021-S27,776,"0"
2021-S28,1129,"0"
2021-S29,2093,"0"
2021-S30,3462,"0"
2021-S31,4523,"0"
2021-S32,5427,1
2021-S33,5260,1
2021-S34,4596,"0"
2021-S35,3821,"0"
2021-S36,3017,"0"
2021-S37,2257,"0"
2021-S38,1699,"0"
2021-S39,1417,"0"
2021-S40,1269,"0"
2021-S41,1384,"0"
2021-S42,1579,"0"
2021-S43,1842,"0"
2021-S44,2052,"0"
2021-S45,2655,"0"
2021-S46,3409,"0"
2021-S47,4932,"0"
2021-S48,6668,1
2021-S49,7838,1
2021-S50,8029,1
2021-S51,8923,1
2021-S52,11679,1
